asdasdasd,asdasdasd,29,true
1111,1111,12,true
Strawberry Meringues,"Method :

                    Preheat your oven to 220°C (430°C).Beat the egg whites and the sugar gradually to get a meringue mixture.Cover a baking tray with baking paper and oil it lightly. Pour the meringue over the baking paper and spread it out on the tray. Sprinkle slivered almonds on top.Bake for 8 minutes, or until the top of the meringue is brown.Lower the heat to 160°C (320°F) and bake the meringue for another 10 minutes, or until the top of the meringue is solid.Put a sheet of baking paper onto the work surface. Take the meringue out of the oven, turn it over and let it cool down.Whip up the cream with vanilla extract. Pour the whipped cream on the meringue, then add some chopped strawberries. Roll the meringue with the help of the baking paper.Place it in the fridge for at least 1 hour.


                        Advice :
                        Délicieux avec des framboises.",20,
Strawberry Meringues,"Method :

                    Preheat your oven to 220°C (430°C).Beat the egg whites and the sugar gradually to get a meringue mixture.Cover a baking tray with baking paper and oil it lightly. Pour the meringue over the baking paper and spread it out on the tray. Sprinkle slivered almonds on top.Bake for 8 minutes, or until the top of the meringue is brown.Lower the heat to 160°C (320°F) and bake the meringue for another 10 minutes, or until the top of the meringue is solid.Put a sheet of baking paper onto the work surface. Take the meringue out of the oven, turn it over and let it cool down.Whip up the cream with vanilla extract. Pour the whipped cream on the meringue, then add some chopped strawberries. Roll the meringue with the help of the baking paper.Place it in the fridge for at least 1 hour.


                        Advice :
                        Délicieux avec des framboises.",20,
Strawberry charlotte,"Method :

                    Hull the strawberries, cut them into large pieces. Line the mold with the plastic film letting it largely fall over the edges. Melt the sugar in some water or dilute it in the alcohol, then quickly dip both sides of the biscuits ; arrange them in the bottom and the edges of the mold.Put very little sugar in the cheese. Spread a layer of cheese, a layer of strawberries, some biscuits. Repeat the operation.Put it in the fridge. Serve chilled.",15,true
Strawberry Meringues,"Method :

                    Preheat your oven to 220°C (430°C).Beat the egg whites and the sugar gradually to get a meringue mixture.Cover a baking tray with baking paper and oil it lightly. Pour the meringue over the baking paper and spread it out on the tray. Sprinkle slivered almonds on top.Bake for 8 minutes, or until the top of the meringue is brown.Lower the heat to 160°C (320°F) and bake the meringue for another 10 minutes, or until the top of the meringue is solid.Put a sheet of baking paper onto the work surface. Take the meringue out of the oven, turn it over and let it cool down.Whip up the cream with vanilla extract. Pour the whipped cream on the meringue, then add some chopped strawberries. Roll the meringue with the help of the baking paper.Place it in the fridge for at least 1 hour.


                        Advice :
                        Délicieux avec des framboises.",20,
Chocolate Mendiants,"Method :

                    Melt each chocolate in its own bowl in a bain-marie.On a tray covered with baking paper, draw chocolate disks (about 2 inches large). Leave enough space in-between them.Cut the walnuts in half and crush the hazelnuts and the pistachios. Add some walnuts, hazelnuts, pistachios, pine nuts, and coconut on each chocolate disk. Place in the fridge for the chocolate to harden.",25,
Veal roulades with cider,"Method : In a frying pan, brown the veal roulades with a large knob of butter.When they are golden brown, add the shallots, the peeled and diced apple, the sliced mushrooms and 2 glasses of cider.Simmer, covered, for 30 minutes.Add the cream and cook for 5 minutes over low heat.Arrange the roulades on a platter, top with sauce and garnish with some parsley leaves. recommended drink : Dry cider",10,
Stuffed Baguette,"Method : Preheat your oven to 180°C (360°F).In a frying pan over high heat, cook the lardons. Chop the onions and add them in the frying pan. Cook until the onions start browning.Slice the baguette in two lengthwise, and remove as much of the crumb as possible. Spread heavy cream on the sliced baguette. Salt and pepper to taste.Spread the onions and lardons on the baguette.Slice the hard-boiled egg into quarters and place them on the baguette slices. Sprinkle grated cheese.Place the baguette slices on a baking tray. Bake for 10 minutes.",30,
Banana Bread,"Method : Preheat your oven to 180°C (360°F)Grate the lemon for the zest, then squeeze it. Set both the juice and the zest aside.In a mixing bowl, combine the butter with the sugar, vanilla sugar, lemon zest and beaten eggs.Peel the bananas and cut them into thin slices. Pour the lemon juice over the bananas, then mash them with a fork.Add it to the sugar and butter mixture. Then, add the eggs, the flour and baking powder. Stir well.Butter a cake pan. Pour the batter in the pan. Bake for 45 min.Serve when cooled down.",30,
asdasd,asdasd,20,
Banana bread,Great,10,
Banana bread,recipe,10,
Tom's recipe,Great!,10,
Jess' recipe,kjsjkfsadhjklasdfhjkldfsahjkldfsa,10,
